t,temp_c,hum
2025-08-13 15:10:00+08:00,24.8,70.7
2025-08-13 15:10:01+08:00,24.8,70.6
2025-08-13 15:10:02+08:00,25.7,49.1
2025-08-13 15:10:03+08:00,24.8,70.6
2025-08-13 15:10:04+08:00,25.7,49.1
2025-08-13 15:10:06+08:00,24.8,70.6
2025-08-13 15:10:07+08:00,24.8,70.5
2025-08-13 15:10:09+08:00,24.8,70.5
2025-08-13 15:10:11+08:00,25.7,49.0
2025-08-13 15:10:13+08:00,25.7,48.9
2025-08-13 15:10:15+08:00,25.7,48.9
2025-08-13 15:10:16+08:00,25.7,48.9
2025-08-13 15:10:17+08:00,24.8,70.3
2025-08-13 15:10:18+08:00,25.7,48.9
2025-08-13 15:10:19+08:00,24.8,70.3
2025-08-13 15:10:20+08:00,25.6,48.8
2025-08-13 15:10:21+08:00,24.8,70.2
2025-08-13 15:10:22+08:00,25.6,48.7
2025-08-13 15:10:23+08:00,24.8,70.2
2025-08-13 15:10:24+08:00,25.6,48.7
2025-08-13 15:10:25+08:00,24.8,70.2
2025-08-13 15:10:26+08:00,25.6,48.7
2025-08-13 15:10:27+08:00,24.8,70.0
2025-08-13 15:10:28+08:00,25.6,48.7
2025-08-13 15:10:29+08:00,24.8,70.0
2025-08-13 15:10:30+08:00,25.6,48.8
2025-08-13 15:10:31+08:00,24.8,69.9
2025-08-13 15:10:32+08:00,25.6,48.7
2025-08-13 15:10:33+08:00,24.7,69.9
2025-08-13 15:10:34+08:00,25.6,48.8
2025-08-13 15:10:36+08:00,25.6,48.8
2025-08-13 15:10:39+08:00,25.6,48.7
2025-08-13 15:10:40+08:00,25.6,48.7
2025-08-13 15:10:41+08:00,24.7,69.7
2025-08-13 15:10:42+08:00,25.6,48.7
2025-08-13 15:10:43+08:00,24.7,69.6
2025-08-13 15:10:44+08:00,25.6,48.7
2025-08-13 15:10:45+08:00,24.7,69.6
2025-08-13 15:10:46+08:00,25.6,48.7
2025-08-13 15:10:47+08:00,24.7,69.5
2025-08-13 15:10:48+08:00,25.6,48.7
2025-08-13 15:10:49+08:00,24.7,69.5
2025-08-13 15:10:50+08:00,25.6,48.7
2025-08-13 15:10:51+08:00,24.7,69.4
2025-08-13 15:10:52+08:00,25.6,48.7
2025-08-13 15:10:53+08:00,24.7,69.4
2025-08-13 15:10:54+08:00,25.6,48.7
2025-08-13 15:10:55+08:00,24.7,69.4
2025-08-13 15:10:56+08:00,25.6,48.7
2025-08-13 15:10:58+08:00,24.7,69.4
2025-08-13 15:10:59+08:00,24.7,69.3
2025-08-13 15:11:00+08:00,25.6,48.7
2025-08-13 15:11:01+08:00,24.7,69.3
2025-08-13 15:11:02+08:00,25.5,48.6
2025-08-13 15:11:03+08:00,24.7,69.3
2025-08-13 15:11:04+08:00,25.5,48.6
2025-08-13 15:11:05+08:00,24.7,69.2
2025-08-13 15:11:06+08:00,25.5,48.6
2025-08-13 15:11:08+08:00,24.7,69.2
2025-08-13 15:11:09+08:00,24.7,69.1
2025-08-13 15:11:10+08:00,25.5,48.6
2025-08-13 15:11:11+08:00,24.6,69.0
2025-08-13 15:11:13+08:00,25.5,48.5
2025-08-13 15:11:14+08:00,25.5,48.6
2025-08-13 15:11:15+08:00,24.6,68.9
2025-08-13 15:11:16+08:00,25.5,48.5
2025-08-13 15:11:17+08:00,24.6,68.9
2025-08-13 15:11:18+08:00,25.5,48.5
2025-08-13 15:11:19+08:00,24.6,68.9
2025-08-13 15:11:20+08:00,25.5,48.5
2025-08-13 15:11:21+08:00,24.6,68.9
2025-08-13 15:11:22+08:00,25.5,48.4
2025-08-13 15:11:24+08:00,24.6,68.9
2025-08-13 15:11:25+08:00,25.5,48.4
2025-08-13 15:11:26+08:00,25.5,48.4
2025-08-13 15:11:29+08:00,25.5,48.4
2025-08-13 15:11:30+08:00,25.5,48.4
2025-08-13 15:11:31+08:00,24.6,67.1
2025-08-13 15:11:32+08:00,25.5,48.4
2025-08-13 15:11:33+08:00,24.6,69.3
2025-08-13 15:11:34+08:00,25.5,48.4
2025-08-13 15:11:35+08:00,24.6,69.5
2025-08-13 15:11:36+08:00,25.5,48.4
2025-08-13 15:11:37+08:00,24.6,69.4
2025-08-13 15:11:38+08:00,25.5,48.3
2025-08-13 15:11:39+08:00,24.6,69.3
2025-08-13 15:11:40+08:00,25.5,48.3
2025-08-13 15:11:41+08:00,24.6,69.2
2025-08-13 15:11:42+08:00,25.5,48.3
2025-08-13 15:11:43+08:00,24.6,69.1
2025-08-13 15:11:44+08:00,25.5,48.3
2025-08-13 15:11:45+08:00,24.5,69.0
2025-08-13 15:11:46+08:00,25.5,48.3
2025-08-13 15:11:47+08:00,24.6,69.0
2025-08-13 15:11:48+08:00,25.5,48.3
2025-08-13 15:11:49+08:00,24.5,68.9
2025-08-13 15:11:50+08:00,25.4,48.1
2025-08-13 15:11:51+08:00,24.5,68.8
2025-08-13 15:11:52+08:00,25.5,48.2
2025-08-13 15:11:54+08:00,25.4,48.2
2025-08-13 15:11:57+08:00,25.4,48.2
2025-08-13 15:11:58+08:00,25.5,48.3
2025-08-13 15:11:59+08:00,24.5,68.9
2025-08-13 15:12:00+08:00,25.4,48.2
2025-08-13 15:12:01+08:00,24.5,68.8
2025-08-13 15:12:02+08:00,25.4,48.2
2025-08-13 15:12:03+08:00,24.5,68.7
2025-08-13 15:12:04+08:00,25.4,48.2
2025-08-13 15:12:05+08:00,24.5,68.7
2025-08-13 15:12:06+08:00,25.4,48.1
2025-08-13 15:12:07+08:00,24.5,68.7
2025-08-13 15:12:08+08:00,25.4,48.1
2025-08-13 15:12:09+08:00,24.5,68.7
2025-08-13 15:12:10+08:00,25.4,48.1
2025-08-13 15:12:11+08:00,24.5,68.7
2025-08-13 15:12:12+08:00,25.4,48.1
2025-08-13 15:12:13+08:00,24.5,68.6
2025-08-13 15:12:14+08:00,25.4,48.1
2025-08-13 15:12:15+08:00,24.5,68.6
2025-08-13 15:12:16+08:00,25.4,48.1
2025-08-13 15:12:17+08:00,24.5,68.6
2025-08-13 15:12:20+08:00,25.4,48.1
2025-08-13 15:12:22+08:00,24.5,68.6
2025-08-13 15:12:23+08:00,24.5,68.7
2025-08-13 15:12:24+08:00,25.4,48.0
2025-08-13 15:12:25+08:00,24.5,68.6
2025-08-13 15:12:26+08:00,25.4,48.0
2025-08-13 15:12:27+08:00,24.5,68.6
2025-08-13 15:12:28+08:00,25.4,48.0
2025-08-13 15:12:29+08:00,24.5,68.6
2025-08-13 15:12:32+08:00,24.5,68.6
2025-08-13 15:12:33+08:00,24.5,68.5
2025-08-13 15:12:35+08:00,24.5,68.4
2025-08-13 15:12:37+08:00,24.5,68.4
2025-08-13 15:12:39+08:00,24.5,68.4
2025-08-13 15:12:41+08:00,24.5,68.4
2025-08-13 15:12:43+08:00,24.5,68.4
2025-08-13 15:12:45+08:00,24.5,68.3
2025-08-13 15:12:46+08:00,25.4,47.9
2025-08-13 15:12:47+08:00,24.5,68.3
2025-08-13 15:12:48+08:00,25.3,48.1
2025-08-13 15:12:49+08:00,24.5,68.4
2025-08-13 15:12:50+08:00,25.3,48.1
2025-08-13 15:12:52+08:00,24.5,68.4
2025-08-13 15:12:53+08:00,24.5,68.4
2025-08-13 15:12:54+08:00,25.3,48.3
2025-08-13 15:12:55+08:00,24.5,68.5
2025-08-13 15:12:56+08:00,25.3,48.3
2025-08-13 15:12:57+08:00,24.5,68.6
2025-08-13 15:12:58+08:00,25.3,48.5
2025-08-13 15:12:59+08:00,24.5,68.6
2025-08-13 15:13:00+08:00,25.3,48.5
2025-08-13 15:13:01+08:00,24.5,68.6
2025-08-13 15:13:03+08:00,25.3,48.5
2025-08-13 15:13:04+08:00,25.3,48.5
2025-08-13 15:13:05+08:00,24.5,68.6
2025-08-13 15:13:06+08:00,25.3,48.5
2025-08-13 15:13:07+08:00,24.5,68.6
2025-08-13 15:13:08+08:00,25.3,48.5
2025-08-13 15:13:09+08:00,24.5,68.6
2025-08-13 15:13:10+08:00,25.4,48.5
2025-08-13 15:13:11+08:00,24.5,68.6
2025-08-13 15:13:12+08:00,25.3,48.5
2025-08-13 15:13:13+08:00,24.4,68.5
2025-08-13 15:13:14+08:00,25.3,48.6
2025-08-13 15:13:15+08:00,24.4,68.5
2025-08-13 15:13:16+08:00,25.3,48.7
2025-08-13 15:13:17+08:00,24.4,68.6
2025-08-13 15:13:18+08:00,25.3,48.8
2025-08-13 15:13:19+08:00,24.4,68.6
2025-08-13 15:13:20+08:00,25.3,49.2
2025-08-13 15:13:21+08:00,24.4,68.6
2025-08-13 15:13:22+08:00,25.3,49.4
2025-08-13 15:13:23+08:00,24.4,68.7
2025-08-13 15:13:24+08:00,25.3,49.4
2025-08-13 15:13:25+08:00,24.4,68.8
2025-08-13 15:13:26+08:00,25.3,49.6
2025-08-13 15:13:27+08:00,24.4,68.9
2025-08-13 15:13:28+08:00,25.3,49.9
2025-08-13 15:13:29+08:00,24.4,69.0
2025-08-13 15:13:30+08:00,25.3,49.8
2025-08-13 15:13:31+08:00,24.4,69.0
2025-08-13 15:13:32+08:00,25.3,49.8
2025-08-13 15:13:33+08:00,24.4,69.1
2025-08-13 15:13:34+08:00,25.3,49.7
2025-08-13 15:13:35+08:00,24.4,69.2
2025-08-13 15:13:36+08:00,25.4,49.8
2025-08-13 15:13:38+08:00,25.3,49.6
2025-08-13 15:13:39+08:00,24.4,69.3
2025-08-13 15:13:40+08:00,25.3,49.5
2025-08-13 15:13:42+08:00,24.4,69.4
2025-08-13 15:13:43+08:00,24.4,69.5
2025-08-13 15:13:44+08:00,25.3,49.6
2025-08-13 15:13:45+08:00,24.4,69.6
2025-08-13 15:13:46+08:00,25.3,49.6
2025-08-13 15:13:47+08:00,24.4,69.7
2025-08-13 15:13:48+08:00,25.3,49.6
2025-08-13 15:13:50+08:00,25.3,49.6
2025-08-13 15:13:51+08:00,24.4,69.8
2025-08-13 15:13:52+08:00,25.3,49.6
2025-08-13 15:13:53+08:00,24.4,69.9
2025-08-13 15:13:54+08:00,25.3,49.7
2025-08-13 15:13:55+08:00,24.4,70.0
2025-08-13 15:13:56+08:00,25.3,49.7
2025-08-13 15:13:58+08:00,25.3,49.8
2025-08-13 15:14:00+08:00,25.3,49.9
2025-08-13 15:14:01+08:00,24.4,70.3
2025-08-13 15:14:02+08:00,25.3,49.9
2025-08-13 15:14:03+08:00,24.4,70.3
2025-08-13 15:14:04+08:00,25.3,49.9
2025-08-13 15:14:05+08:00,24.4,70.5
2025-08-13 15:14:06+08:00,25.3,49.9
2025-08-13 15:14:07+08:00,24.4,70.5
2025-08-13 15:14:08+08:00,25.3,49.9
